Sr.No.,Category,Title,Author,Abstract,Conclusion ,Discussion
11,GOVERNANCE,"Editorial: One health,
environmental health, global
health, and inclusive
governance: What can we do?", Laaser et.al,"""One Health"" is a comprehensive conceptual framework that includes a global perspective on human and animal health, as well as the environment, which includes air, water, soil, and plants. It necessitates combining interactions from both the bottom-up and top-down perspectives, based in inclusive government , and supported by interactive science, i.e., cross-disciplinary scientific collaboration. At the ground level, what is done in practise must affect those in power, resulting in more responsive, effective, and inclusive government and, as a result, significantly improved outcomes. Human and veterinary medicine, public health, social sciences, educators, and lawmakers must be involved and contribute to national and local decisions and actions.","Despite their potential, these strategies have limitations. The current trajectory cannot be changed solely by the global North; effective international cooperation will be vital. Physicians and veterinarians are important professions that cannot change the current patterns on their own, and contributions from the social and political sciences are critical for successfully implementing change. To summarise, the gap between bottom-up and top-down, grassroots and organised action, must be addressed by all of us.",
12,GOVERNANCE,"Addressing Inequalities Toward
Inclusive Governance for Achieving
One Health: A Rapid Review", Eliakimu and Mans,"Aims to identify key issues that are likely to exacerbate inequalities around the six SDGs directly related to One Health, namely SDGs 3, 6, 11, 13, 14, and 15, and to suggest some actions that may help to address them using inclusive governance in light of the 2019 coronavirus disease pandemic (COVID-19). Informed by the literature on SDGs and using Gupta and Vegelin's ""inclusive development concept,"" a literature search was conducted in Google Scholar, PubMed Central, and the search of references in relevant articles identified using search terms from the six SDGs that are directly related to One Health. In the context of the SDGs, the following must be accomplished in order to attain One Health through inclusive governance and address inequalities: The notion of the antibiotic resistome was presented just over a decade ago, and active resistome investigations have been carried out since then. In this paper, we describe the previously established concept of the resistome, which includes all types of antibiotic resistance genes (ARGs), as well as key findings from each One-Health sector that take this concept into account, emphasising the importance of the One-Health approach in understanding ARG transmission. Cutting-edge research approaches are required to unravel the complex resistome structure in human, animal, and environmental microbiomes. Future directions for resistome research have been recommended to better the understanding and control of ARG transmission based on previous achievements of resistome studies in several One-Health sectors: a ranking of the most important ARGs and their hosts; increasing number of armed conflicts; ongoing COVID-19 pandemic; ensuring availability of water and sanitation facilities; improving city and urban areas climate change planning; improving governance arrangements for addressing climate change factoring gender and human rights; multisectoral planning for conservation of oceans, seas, and marine resources; balancing wildlife trade regulation with conservation efforts; need for a research collaborative It is also vital to include people with impairments in the usage of digital technologies.
","Inequalities have a global, regional, and national impact on people's health and well-being. An inclusive approach to government has the ability to include everyone and hence minimise inequities. The ongoing COVID-19 pandemic has worsened inequality and its drivers, putting our attempts to reduce inequities through the One Health strategy under strain. While we have identified several critical initiatives to alleviate inequities in regard to the six SDGs directly relevant to One Health, they will need to be backed up by strong policies at the global, regional, and country levels that are informed by policy sciences. It also necessitates increased country capacity for undertaking research on health disparities. As a result, we advocate for inclusive governance in addressing inequities in order to attain One Health.","In the context of the SDGs, in order to achieve One Health through inclusive governance, and tackle inequalities, the following need to be addressed: armed conflicts; ongoing COVID-19 pandemic; availability of water and sanitation facilities; improving city and urban areas planning; improving governance arrangements for addressing effects of climate change factoring gender and human rights; multisectoral planning for conservation of marine resources; balancing trade regulation wildlife trade with conservation efforts; research collaborative involving experts from environmental sciences, wildlife, agriculture and human health to study and develop scientific evidence on contribution of changes in land use practices to occurrence of zoonotic diseases; and need for a legislation for promoting animal welfare to protect public health."
13,GOVERNANCE,"Evaluating One Health: the role of team science
in multisectoral collaboration",Errecaborde et.al,"Many individual disciplines, and in some cases multidisciplinary research teams, have looked at the scholarship of collaboration and arrived at remarkably similar conclusions about which factors and competencies support effective collaboration in a review of the literature surrounding One Health, cross-boundary collaboration, the science of teams, and interdisciplinary health competencies. However, findings on how to evaluate collaboration effectively are frequently lacking in the research studied. Despite recent gains in measuring One Health operations and outcomes, there remains an opportunity to develop process-based performance indicators for One Health collaboration and teamwork. The authors believe that, in addition to outcome-based One Health, work on collaborative performance evaluation should be synthesised across several disciplinary and sectoral lanes and degrees of collaborative analysis.","The increase in the number of global frameworks and their success Stories published and/or acknowledged throughout the recent decade, and especially in the last few years, create a firm foundation. universal dedication and confidence in the intrinsic worth of the One Health and a collaborative approach. However, there is more work to be done, including additional research explains how to best form and support teams can effectively implement transdisciplinary techniques. In this examination of collaborative scholarship's disciplinary'lanes' Through investigation, the authors discovered four fundamental factors that can assist us move forward in our evaluation of One Health. The irony is that the collective 'we' is required to work more efficiently across disciplines to help collaboration research and evaluation of collaborative efforts in the field.","In this brief review of the literature, the authors have synthesised lessons from five comprehensive literature reviews to illustrate the depth of collaborative scholarship available to guide the One Health community. While not exhaustive, it provides a window into the depth of collaborative research available across various disciplines, as well as suggesting the commonality in the characteristics reported and the competencies developed to support effective collaboration. Recognising the work that NEOH has begun, this article supports the need for continued progress on evaluating One Health on two fronts: individual metrics (e.g. economic benefit) used for specific projects that provide ‘proof of concept’ for One Health, and the measurement of collaborative processes or teamwork effectiveness. The absence of a process by which practitioners can evaluate teaming remains a critical gap in the development of successful One Health projects, programmes, initiatives or networks. It is important to stress that there is much to leverage and learn from the literature on team science, cross-boundary collaboration and interdisciplinary work when considering when and how to evaluate One Health."
14,GOVERNANCE,Adopting an intersectoral One Health approach in India,Rajib et.al,"Following many outbreaks of zoonotic diseases, including the recent COVID-19 pandemic, Indian policy initiatives are committed to institutionalising One Health (OH) concepts and promoting intersectoral, transdisciplinary collaboration and cooperation. The OH principle must be visualised outside of the context of zoonoses. While the conservation, ecological, and veterinary professions are becoming more involved in OH, the majority of the medical/clinical and social sciences professions are only dimly aware of its subtleties. Because of their basically multidisciplinary nature, the OH efforts include collaborating across ministries, overcoming tacit institutional hierarchies, and allocating leadership roles. The formation of One Health Committees (OHC) at the state and district levels will be the next obvious operational step.","The importance of solid sectoral systems cannot be overstated, as they will determine operational elements in the end. Academic institutions will have a significant impact in shaping and facilitating OH education. Capacity development should thus concentrate on cross-cutting concerns such as zoonotic illnesses that are currently affecting communities, public health, environmental degradation/climate change, economics, risk assessment and surveillance, and policy development. It is hoped that these stages will lead to the establishment of ""OH community"" networks and the promotion of the idea of ""Oneness.""",
15,GOVERNANCE,One Health operations: a critical component in the International Health Regulations Monitoring and Evaluation Framewor,Rocque et.al,"Countries are expected to develop their capacity to detect, assess, inform, and respond to unusual health incidents of possible international concern under the International Health Regulations (IHR, 2005), a legally binding treaty adopted by 196 States Parties. The World Health Organisation (WHO) developed the IHR Monitoring and Evaluation Framework (IHR MEF) to assist nations in monitoring, strengthening, and complying with the IHR (2005).
The State Party Annual Report, the Joint External Evaluation, after-action reviews, and simulation exercises are all complementing components of this structure. The first two are intended to review capacities, while the latter two are used to assist explore their functionality. The input of various disciplines, sectors, and areas of work collaborating through a One Health approach is critical for execution.","Since their implementation in 2005, the IHR have assisted the world community in better preparing for and responding to public health emergencies. Many States Parties have made significant progress in developing and strengthening the essential capacities mandated by the Regulations. Taking use of the present momentum and existing initiatives that encourage Regulations implementation, the IHR MEF assists countries in their efforts to create and sustain core capacities and ensure their full integration into national health systems. Furthermore, the IHR MEF assists countries in continuing to incorporate other key sectors, including as animal health, the environment, travel, and transportation.  ",
16,GOVERNANCE,"One Health collaborations for zoonotic disease 
control in Ethiopia",Murphy et.al,"Because of the nature of their transmission between animals and people, zoonotic diseases necessitate a One Health approach for successful control and elimination. One Health recognises the interdependence of human, animal, and environmental health. Ethiopia has committed to using a One Health approach to control five priority zoonotic diseases (rabies, anthrax, brucellosis, leptospirosis, and echinococcosis). The National One Health Steering Committee (NOHSC) offers national stakeholders with a framework for addressing gaps in multisectoral communication, coordination, and collaboration. Furthermore, the NOHSC directs the development of many specialty disease-focused groups known as 'Technical Working Groups' (TWGs). These TWGs are in charge of creating disease preventive and control strategies, as well as carrying out illness-focused public health activities and making recommendations to the NOHSC.","Creating and sustaining multisectoral, One Health collaborations necessitates regular, coordinated, and devoted efforts from numerous partners who may not ordinarily collaborate on a daily basis. Over the last few years, there has been a tremendous increase in awareness and collaboration as a result of a better knowledge of the essential role that zoonotic diseases play in Ethiopia's agricultural infrastructure and public health. The One Health approach's continued support will be contingent on sustained national support to improve the NOHSC and associated TWGs, as well as the availability of public and animal health specialists to direct training and respond to future disease risks.",
17,GOVERNANCE,International law reform for One Health notifications,Carlson et.al,"Rapid information sharing is essential for assessing and responding to epidemic risks. We explore the limits of the current system for outbreak notifications, which suffers from vague requirements, brittle incentives, and an unduly narrow focus on human outbreaks, using instances from the last decade. We evaluate existing international legal frameworks and provide clarity on what would be required for a successful One Health approach to suggested international law reforms, such as a pandemic treaty and amendments to the International Health Regulations. We focus on how a treaty could simultaneously expand reporting obligations, accelerate the sharing of scientific discoveries, and strengthen existing legal frameworks, all while addressing the most complex issues confronting global health governance today.","The Intergovernmental Negotiating Body for the Pandemic Treaty will meet in June 2022 to discuss the drafting of treaty draughts. In the meantime, proposed IHR amendments are being investigated by the Working Group on IHR Amendments, and will be debated in the 75th World Health Assembly in May 2022. We are in a rare period of political momentum in which we can address the delays and data governance shortcomings of the current fragmented collection of notification instruments and institutions. 
International legislation reform has the ability to actualize and cohere around a One Health approach, potentially preventing the next outbreak from becoming a pandemic. It would also begin to establish a global health infrastructure capable of successfully sharing information outside of the country.",
18,GOVERNANCE,Meanings and mechanisms of One Health partnerships: insights from a critical review of literature on cross-government collaborations,Abbas et.al,"Antimicrobial resistance and other emerging illnesses are complex health policy concerns generated by actions in several sectors.
As a result, tackling issues needs collaborative efforts from many sectors, as represented by the One Health concept. We conduct a critical assessment to analyse the many ways in which multisector partnerships have been conceptualised across multiple disciplines and thematic areas. We began with a collection of six articles from the disciplines of health, nutrition, and public administration that addressed conceptual frameworks in their respective professions. We used the bibliography of the six works to do backward citation tracing to locate other articles in the same and related fields that conceptualised multisector collaborations. Multisector collaborations occur in times of dynamic uncertainty and sector failure, when the information and resources needed exceed the capacities of any single sector. Such collaborations are fundamentally political in nature, as they encompass many opposing goals of partnering actors. To sustain cooperation over time, collaborative methods such as One Health will need to accept different political positions and contain flexibility to allow multisector partnerships to adjust to changing external circumstances.","Instead of disregarding politics, a successful partnership must be savvy about working with and tolerating it. We urge that researchers investigate the impact of politics in influencing multisector collaborations and that technical agencies provide guidance on One Health partnerships that is explicit about the political agenda in which they function. Rather than standardised approaches, we propose that international One Health guidelines should build capacities and empower national programme managers to be flexible in selecting a form of One Health that best meets their needs and can accommodate the agendas of different collaborating actors within their respective political landscapes. We believe that if the One Health movement can accept and support such an adaptive and flexible strategy, we will be more likely to succeed.","We have structured the Discussion section in three parts.
The first part discusses possible typologies of multisector col laborations. The second part examines possible drivers of
multisector collaborations informed by a complex system
understanding of collaborations. The last part draws upon the
collaboration literature in other fields to draw lessons for the
One Health movement.
"
19,GOVERNANCE,"Global and regional governance of One Health and 
implications for global health security", Elnaiem et.al,"The apparent inability of global health security to avoid or prepare for the COVID-19 pandemic has underlined the importance of greater collaboration between the human, animal (domestic and wildlife), and environmental health sectors. 
However, the numerous institutions, processes, regulatory frameworks, and legal instruments involved in the global governance of One Health have resulted in a fragmented, global, multilateral health security architecture. 
We investigate four challenges: first, the sectoral, professional, and institutional silos and tensions that exist between human, animal, and environmental health; second, the challenge that the international legal system, state sovereignty, and existing legal instruments pose for the governance of One Health; third, the power dynamics and asymmetry in power between countries represented in multilateral institutions and their impact on priority setting; and fourth, the power dynamics and asymmetry in power between countries represented in multilateral institutions and their impact on priority setting.","Our recommendations outline mechanisms for addressing the inequality that is currently built into the global multilateral system, such as leveraging nonhealth treaties in the trade and environmental sectors to achieve positive externalities in health, or using regional bodies to share responsibility and investment commitments without sacrificing locally responsive processes. However, for these systems to be successful, significant investment in capacity building in the technical, legal, and political domains is required into the practise of One Health. Above all, promises should be concrete, aggressive, and based on equity, and sustained. They should represent in their social-ecological system the very real threat that hazards across the whole socioeconomic spectrum provide, both in terms of causing and exacerbating global health catastrophes, and in terms of weakening the resilience of all living species.",
20,GOVERNANCE,"Factors that enable effective One Health
collaborations - A scoping review of the
literature",Errecaborde et. Al,"One Health advocates recognise that global health concerns necessitate multidisciplinary collaboration efforts. While previous articles examined interdisciplinary competency training for collaboration, few identified the variables and situations that enable operational One Health. A multidisciplinary team of researchers conducted a scoping analysis of the literature, analysing peer-reviewed papers describing multisectoral collaborations around infectious disease-related health crises. The study discovered that publications on multisectoral collaboration for health events do not consistently report on collaboration's accomplishments or problems and rarely identify collaborative outputs or outcomes.","When active cooperation is not structurally supported, recognised, and continually checked for health and effectiveness, different approaches can be a substantial barrier. Our efforts highlight the importance of training for skill sets that go beyond technical sector-specific training. When considering which abilities were most important in our collaborative process, we discovered that the common goal of cooperation was the foundation for our ability to incorporate the diverse expertise that each team member brought to the process. Most of the time, like in our case, it is an ad hoc process that is dependent on the incentives, shared values, and time available within a team to develop in this manner. According to our findings, while this strategy worked for us, it would not work for you. Our study reveals that, while this technique worked for us, it would be inefficient in terms of time and resources in the event of a health emergency. Thus, One Health techniques must be reviewed to assist practitioners in determining when and how to interact most successfully for their intended aims.",
21,TECHNOLOGY,Real-time genomics for One Health,Urban et. Al,"While the notion of One Health illustrates how human health and environmental health are closely intertwined, many of these complex interdependencies remain unknown. We demonstrate how the introduction of real-time genomic analyses can enhance One Health and enable fast, in-depth ecosystem health assessments in this paper.  We present nanopore sequencing as the sole disruptive technology that now allows for real-time genomic studies and is being used globally to improve the accessibility and adaptability of genomic sequencing.  We highlight real-time genomic studies on zoonotic disease, food security, environmental microbiome, emerging pathogens and their antimicrobial resistances, and environmental health itself--from the creation of genomic resources for wildlife conservation to the monitoring of biodiversity, invasive species, and wildlife trafficking.","The application of real-time genomic technologies at the point-of-care can improve our understanding of complex interdependencies within the One Health concept, directly informing management decisions in clinical, veterinary, agricultural, conservation, and environmental applications.To truly achieve fair and universal adoption of real-time genomics, a paradigm shift is required. To promote decentralised capacity, this will require addressing global disadvantages and making the technology commercializable and compatible with varied cultural models and infrastructure. Further research and automation are necessary to make the device more accessible, allowing it to be used at airports, hospitals, isolated wildlife camps, local populations, or in daily conservation and biosecurity surveillance. This global and decentralised genetic data has the prospect of broadening our horizons.",
22,TECHNOLOGY,"A One Health approach to managing the 
applications and implications of nanotechnologies 
in agriculture",Lombi et.al,"As continued developments in nanotechnology are swiftly converted into new industrial applications and nano-enabled commercial products, the need for adequate science and legislation to underpin nanosafety is greater than ever. Nonetheless, there remains a gap between those investigating the implications of nanoparticles to human and environmental health. This gap is not uncommon in research and risk assessment, and it has been exacerbated in the case of designed nanomaterials by the relatively limited overlap in human and environmental exposure pathways. The emergence of agri-nanotechnologies increases both the need and the possibility to change this status quo, since it poses important challenges of intersectionality that current discipline-specific approaches cannot fully address. We propose here, concentrating on the specific case of nanoparticles, that a transdisciplinary approach, supported by the the sustainable development  of these technologies.","
To overcome the barriers already identified in the pursuit of One Health perspectives, critical steps in the case of agri-nanotechnologies will include: (i) pursuing better communication, cooperation, and integration between the fields of human and environmental toxicology, (ii) harmonising nanometrology and testing protocols and collating consistent datasets spanning both human and environmental toxicology, and (iii) stimulating comparative toxicology. 
medicine, agricultural chemicals, veterinary medicine, and so on) to contribute to the creation of a transdisciplinary risk governance framework 
nanotechnology.",
23,TECHNOLOGY,"Nanobiotics and the One Health Approach: Boosting the Fight
against Antimicrobial Resistance at the Nanoscale",Himanshu and Mukherjee et. Al,"Antibiotic overuse and misuse have significantly contributed, and other factors such as gene mutation, bacteria living in biofilms, and enzymatic degradation/hydrolyses aid in the emergence and spread of AMR, which may have significant economic consequences such as decreased productivity and increased health-care costs. Nanotechnology provides an exciting platform for solving this issue. Nanoparticles have distinct qualities that make them extremely successful in treating bacterial infections by reducing the growth and survival of multidrug-resistant bacteria in three domains of health: human, animal, and environmental. In order to conduct an economic evaluation of surveillance in this environment, it is critical to first understand the links that must be addressed by different nations through the implementation of national action programmes based on the One Health strategy.","Antibiotics are the cornerstones of modern medicine and have considerably contributed to the improvement of health care, but when AMR spread, it presented a global threat to human life that had not previously existed. As a result, a nanotechnology-based drug delivery system for the production of future nanobiotics is viewed as a weapon in the twenty-first-century technological revolution, achieved by constructing a governance structure that aligns strategic and operational planning with a single health approach. This provides hope that the detrimental impacts of antimicrobial resistance can be mitigated and that the repercussions for society as a whole will not be irreversible.
",
